title,artist,rank,weeks_on_charts
Sour,Olivia Rodrigo,1,14
Trip At Knight,Trippie Redd,2,1
SoulFly,Rod Wave,3,22
Planet Her,Doja Cat,4,9
Solar Power,Lorde,5,1
Happier Than Ever,Billie Eilish,6,4
F*ck Love,The Kid LAROI,7,57
The Chaos Chapter : FREEZE,TOMORROW X TOGETHER,8,10
Dangerous: The Double Album,Morgan Wallen,9,33
One In A Million,Aaliyah,10,68
The Voice Of The Heroes,Lil Baby & Lil Durk,11,12
Future Nostalgia,Dua Lipa,12,73
Shoot For The Stars Aim For The Moon,Pop Smoke,13,60
What You See Is What You Get,Luke Combs,14,94
Hall Of Fame,Polo G,15,11
My Turn,Lil Baby,16,78
After Hours,The Weeknd,17,71
A Gangsta's Pain,Moneybagg Yo,18,18
Legends Never Die,Juice WRLD,19,59
Hollywood's Bleeding,Post Malone,20,103
Justice,Justin Bieber,21,23
Greatest Hits,Queen,22,453
The Ballad Of Dood & Juanita,Sturgill Simpson,23,1
Goodbye & Good Riddance,Juice WRLD,24,171
Good Things,Dan + Shay,25,2
Folklore,Taylor Swift,26,57
Rumours,Fleetwood Mac,27,439
The Off-Season,J. Cole,28,15
Long Term Effects Of Suffering,$uicideBoy$,29,2
This One's For You,Luke Combs,30,221
Positions,Ariana Grande,31,43
Faith,Pop Smoke,32,6
Fine Line,Harry Styles,33,89
Tickets To My Downfall,Machine Gun Kelly,34,48
ASTROWORLD,Travis Scott,35,160
Hamilton: An American Musical,Original Broadway Cast,36,309
If I Know Me,Morgan Wallen,37,152
Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,38,538
Inside (The Songs),Bo Burnham,39,12
Culture III,Migos,40,11
Curtain Call: The Hits,Eminem,41,543
Diamonds,Elton John,42,198
Still Sleep?,Sleepy Hallow,43,13
"When We All Fall Asleep, Where Do We Go?",Billie Eilish,44,126
The GOAT,Polo G,45,67
YHLQMDLG,Bad Bunny,46,78
Shiesty Season,Pooh Shiesty,47,29
